,x1,x2,y1,y2
113,90338,55182,74405,22136
114,99208,38312,82132,34835
115,82670,1484,79503,65699
116,69624,51754,62829,52768
117,19155,46599,92080,87414
118,36309,8110,59718,79173
119,51215,71399,19440,73032
120,53221,14805,56548,86923
121,25374,82312,31175,53351
122,70982,23517,96800,13829
123,23936,56232,69758,66372
124,26972,83991,11565,79385
125,33474,18604,45402,58603
126,15935,7888,52647,24504
127,27051,90807,38211,67940
128,12009,99535,97282,14381
129,18487,61035,60665,89664
130,13804,50959,9874,73828
131,73164,99095,93358,19031
132,92998,68319,25019,81092
133,72631,29054,71812,93399
134,39466,6085,37392,99231
135,75677,56086,10513,30541
136,68840,60957,193,79349
137,35335,36646,66040,5137
138,25885,46131,66011,81672
139,76578,97896,16981,56918
140,23857,9730,95697,96187
141,70151,68926,34430,62938
142,95354,25136,97075,64966
143,28350,97354,16180,58912
144,56211,70372,3566,20527
145,70338,38506,40721,48473
146,71170,47373,39178,3087
147,21174,28139,68928,38669
148,11200,41394,90953,25919
149,97626,8392,76097,40544
150,90386,90817,73430,20229
151,37744,85828,42829,41908
152,87596,95319,2273,74990
153,86740,6974,83199,90908
154,89308,61861,84516,2857
155,12220,23942,69683,84071
156,52562,73481,43964,65194
157,73464,91114,21207,5030
158,49856,57408,91081,85471
159,20265,79057,200,54042
160,74673,6137,54879,25347
161,52917,24913,48471,47454
162,96748,56162,82041,23057
163,38970,90612,29949,68827
164,42761,40931,39408,3518
165,74414,31839,54298,41890
166,96555,85225,21774,71918
167,1437,36415,13757,82407
168,5345,27442,4022,1321
169,46878,2024,56437,9001
170,41507,49602,74492,20199
171,94633,74252,37128,3611
172,76540,66309,34806,45618
173,25429,72939,29519,97368
174,43747,31749,54529,93808
175,61146,42898,60378,29060
176,40838,71355,27360,94717
177,27922,10838,32408,13010
178,38564,3504,61402,10925
179,37110,51051,35559,27824
180,72073,12504,42577,75412
181,39121,10294,76055,43669
182,44565,86098,8366,97976
183,88654,38875,69240,68916
184,5262,38486,34302,36120
185,6548,47142,26314,25453
186,7526,11736,96077,91097
187,712,69822,91304,58061
188,42606,86128,54988,43333
189,27145,20747,9220,58846
190,74750,65735,56637,67990
191,55160,45890,65280,1708
192,54646,30205,91132,73355
193,11598,79583,30460,12022
194,65319,48951,59793,82020
195,59630,63466,47047,43549
196,52215,58630,2198,37834
197,67704,72463,13018,38472
198,22993,78029,40742,89840
199,85210,14981,92411,36841
200,31882,61285,65902,44138
201,98273,71018,41674,94218
202,45487,62934,93666,84438
203,88854,98199,28006,73136
204,8919,91180,4585,88792
205,57625,35151,65423,96947
206,11426,27056,47763,88752
207,95993,49372,79734,47549
208,90737,36544,53584,75981
209,11577,44650,85652,26252
210,72962,7657,77385,44169
211,97951,81621,12483,47556
212,35412,47412,72068,32930
213,27118,59888,30401,81828
214,95745,67659,73978,18921
215,35720,29367,49379,99912
216,15808,44885,91319,34890
217,25835,85272,692,88577
218,83044,20283,97075,65454
219,65376,37537,11508,10196
220,42541,32984,58185,40803
221,99228,62882,88724,21749
222,59353,36461,45648,54562
223,26803,56626,25093,59368
224,27636,35144,67499,56738
225,65471,73835,39521,41850
226,34758,92418,59226,58623
227,16019,53843,33494,14959
228,55355,77899,25474,67774
229,31110,92826,92085,23303
230,39889,13012,37385,29864
231,74265,27761,55497,29559
232,44396,7108,18229,29993
233,27104,73928,67045,99169
234,87297,70633,24628,53578
235,45660,71692,68346,85122
236,14691,23159,42856,72654
237,84654,32991,32058,39328
238,60233,95582,18113,29453
239,71308,59680,9525,29463
240,34188,9794,40642,44809
241,53730,97652,7111,56587
242,40705,57952,19621,16251
243,34276,99515,21971,92707
244,27134,54077,79293,47420
245,50779,59955,91337,83341
246,59381,36820,83154,52777
247,3063,88915,46970,60881
248,40943,15365,24555,26843
249,70014,25236,77099,45395
250,84762,70088,92086,72379
251,71266,51814,44396,26985
252,72714,8904,86565,98975
253,20232,50153,44807,22716
254,81941,38707,97720,22998
255,9581,40168,64533,85116
256,75458,53223,20145,1391
257,57841,35400,34997,25854
258,12330,50963,30406,63097
259,12280,5902,8158,17653
260,94921,20541,93528,39481
261,81608,93480,4307,71877
262,18770,96759,81876,87151
263,40005,46717,71107,15037
264,12220,27217,68234,37015
265,54119,45586,7902,54785
266,29542,66281,4139,89010
267,9735,22808,21963,88427
268,43799,77258,66397,74775
269,20481,33493,59943,77790
270,36251,65212,2655,81248
271,53852,96168,60633,14807
272,32314,70941,96705,13295
273,73398,61501,36176,94311
274,98569,34283,51073,76845
275,97140,7328,60127,57547
276,46883,99103,88293,14326
277,77593,13696,82468,77628
278,30381,48108,24630,3567
279,10816,23001,60341,29211
280,68723,231,62670,59964
281,94110,77625,1714,35795
282,91045,37808,66927,91517
283,83403,58302,4945,22022
284,52322,76404,68229,56592
285,99914,41868,27052,66766
286,33463,70486,87035,71171
287,41722,23716,64899,98483
288,57527,43927,65117,44528
289,92945,5230,54872,41908
290,93354,67367,50612,87460
291,42213,26518,80836,82383
292,4662,8989,85498,40819
293,9203,69035,79231,14652
294,4509,52126,43324,96304
295,18801,6134,73778,55160
296,5803,30491,93584,31055
297,89433,52415,22672,8051
298,83643,71727,34481,41570
299,7681,87747,94418,81718
300,40680,94848,92309,70677
301,84411,7309,9790,39955
302,51573,97034,1444,16720
303,29434,39086,17670,61196
304,52314,87801,89990,41433
305,44292,91619,48528,66247
306,23389,48075,4095,46943
307,2452,54755,18158,46504
308,75125,23399,10625,78538
309,21807,94758,52801,73120
310,92907,39703,6488,43693
311,14372,63572,94709,16727
312,35449,30402,36083,35668
313,88430,18165,80103,52299
314,32429,17281,89383,37428
315,12008,90657,96190,25800
316,61572,44213,83675,2522
317,51033,6537,83327,46770
318,49183,1731,92268,85404
319,23425,31488,54790,74014
320,55267,69602,86069,5696
321,89844,94252,22175,1104
322,87147,27632,21327,68929
323,1164,78948,57656,47808
324,32049,79113,62113,37067
325,30742,58024,8786,72752
326,48925,41947,69716,79080
327,96973,35464,10806,74562
328,82393,23943,88084,54933
329,19741,22678,27461,42260
330,57429,93994,48864,19031
331,79880,29130,21640,56706
332,54998,56567,28170,61968
333,16519,21362,13404,73141
334,56231,59265,78079,50309
335,86551,4058,99839,73884
336,6521,94987,20302,84609
337,92501,93185,33825,42654
338,6012,20694,44404,6692
339,20424,63558,15071,26737
340,99173,61279,4454,34726
341,43255,10840,85854,71216
342,69378,99979,97849,34174
343,3413,50212,76133,19976
344,16238,55684,75362,73088
345,39571,15029,29192,32043
346,91545,42794,21229,23414
347,66817,62233,45710,2614
348,76673,80373,51335,20468
349,20091,73456,37319,72657
350,7032,12469,85008,67722
351,89134,12937,33230,4748
352,77695,79592,99863,98946
353,51051,72764,46780,65875
354,14323,27118,72951,35761
355,71753,42998,40491,12548
356,3536,89483,97240,46562
357,98771,37080,59464,79950
358,78872,22846,77900,59700
359,58258,73028,35522,53115
360,20211,53520,47799,70875
361,18075,13766,11775,6545
362,13749,3899,65023,532
363,59451,87529,25053,53579
364,29509,13382,51072,27992
365,48293,18600,97081,92716
366,71520,470,39941,79322
367,21703,41021,79909,50887
368,59563,27237,49381,37163
369,12029,42184,19121,40656
370,36118,1535,69828,50831
371,69495,88518,83345,73928
372,86452,61652,54237,56335
373,48679,47724,6820,66008
374,61432,68804,83526,29647
375,96745,12729,6524,42086
376,88673,98647,98176,49626
377,13251,69797,68148,55766
378,48761,95443,22483,74629
379,21734,60236,20955,4083
380,37803,39809,19269,14740
381,66581,948,28956,7740
382,91678,13289,96151,54622
383,52430,56693,67729,52346
384,62789,89802,61165,64361
385,26894,17243,86516,5885
386,38130,66513,73633,28953
387,65717,61057,12416,98025
388,12872,21078,69910,3770
389,71961,92014,93839,76831
390,91650,6047,59479,79380
391,86748,33948,21029,34764
392,32747,64553,43251,35917
393,76184,39300,68614,22679
394,93032,70948,18686,26168
395,31198,72636,67957,75816
396,67996,10500,13653,65973
397,95916,17224,95747,59842
398,93613,61904,36116,839
399,13828,38258,86689,93627
400,74240,4367,79045,82198
401,60306,59600,22444,18953
402,92892,43110,9077,20723
403,82727,9657,29526,19649
404,79817,48348,15098,5430
405,24171,76053,21630,62300
406,58088,15569,62590,32544
407,43351,85715,22199,80562
408,4854,44253,51908,76223
409,27528,64970,65016,91619
410,5712,50934,92311,29333
411,97923,96837,88787,63819
412,11206,24491,93890,36660
413,75941,84156,47476,6545
414,55779,33033,82454,34096
415,74856,21527,99602,64652
416,28658,44373,80366,73215
417,36274,5066,38385,86842
418,40065,74802,23822,17711
419,23871,7378,95119,99896
420,36635,15201,50406,89853
421,96476,83684,19907,65820
422,40146,44842,70710,31418
423,32611,78687,52017,6562
424,53303,47363,5083,73728
425,59807,63068,29111,94092
426,42444,95709,89789,77907
427,3969,64384,25752,64910
428,92910,36664,5493,44811
429,34374,90405,16020,80186
430,7313,34014,63098,29003
431,22114,15808,17829,1465
432,63398,79492,84502,56327
433,26713,18683,16471,2270
434,51382,38090,82109,58194
435,3285,8447,99941,35181
436,78039,67509,12783,21668
437,35163,20061,97569,90266
438,17800,93410,8311,99411
439,85801,81698,32040,54541
440,19188,81641,26820,29927
441,17900,54178,92096,1293
442,42926,57546,9920,48323
443,66543,45739,80859,97438
444,33965,51132,35660,58693
445,61343,86834,47185,44659
446,74856,63482,1816,47270
447,85931,7633,27052,8627
448,94093,99066,14909,75069
449,21495,40866,9089,11233
450,22727,32382,11211,30051
451,7852,82275,90055,39638
452,65298,58990,16174,31331
453,87491,29759,1777,21554
454,71785,25083,71371,15509
455,50633,95178,18393,56348
456,65039,69884,85429,63097
457,88130,45219,54717,99969
458,89481,85013,87308,70229
459,76238,56643,75140,39205
460,5341,82393,933,55432
461,14174,2173,77872,71852
462,47728,30503,23022,88683
463,17432,15552,97906,18988
464,94354,38215,35125,66811
465,87769,50457,86640,65131
466,87571,10450,90891,65474
467,38647,34126,34769,5142
468,81573,49846,83506,63583
469,29885,32969,27100,53532
470,15020,43142,50238,41583
471,84688,10700,39432,20450
472,52501,20528,38804,86702
473,93423,80577,45870,35669
474,7563,91758,58214,91613
475,5203,32943,2066,4190
476,36583,51572,15779,15268
477,69514,69992,80487,53941
478,68852,68066,64427,41724
479,24826,20128,42303,5100
480,30525,39306,67224,98117
481,51644,48547,76793,51715
482,9047,31497,96107,85754
483,61152,25998,55583,76611
484,88109,16343,79383,92854
485,28539,81079,22397,87965
486,56617,49553,95932,92183
487,1439,83984,83198,36572
488,64527,25092,92034,5874
489,85419,18209,33381,36442
490,80403,73184,23823,84542
491,17710,22713,28427,98510
492,73295,69988,52510,27760
493,80783,5146,96737,90643
494,74618,48003,78296,61326
495,69032,36830,94135,92432
496,9013,76116,81363,24938
497,69140,63260,2541,98873
498,59302,1288,54872,15524
499,82990,29937,32079,58982
500,68105,89131,34626,36917
501,58983,16595,79942,72628
502,67415,70326,86934,51233
503,68174,62518,77952,34695
504,44926,69077,5579,5774
505,61330,94505,90339,57615
506,74935,53410,97198,44334
507,56045,83263,70471,19396
508,77655,90106,69090,96191
509,61253,4001,32336,96727
510,86991,59847,92510,7931
511,23905,68428,65915,74974
512,77453,13216,66451,42739
513,62600,71717,75849,17294
514,24418,98916,32823,4929
515,36007,70019,2945,71796
516,26663,31102,20577,20813
517,44617,20847,3509,11163
518,9615,39335,12920,45631
519,611,4466,16754,26804
520,48711,66083,37337,98447
521,64767,40394,44859,35451
522,2981,68473,61981,51880
523,90001,99404,21372,43450
524,14709,86040,93033,21829
525,11958,55150,34433,33007
526,76034,41387,36510,78914
527,96398,24633,22955,90877
528,33360,16823,30845,59665
529,34269,7399,984,39992
530,4181,951,84317,2697
531,88608,44861,58987,52256
532,30985,16056,56414,31092
533,46865,1612,40581,90053
534,26533,55597,22715,38312
535,25706,57285,34262,54115
536,11936,32060,84129,89176
537,89375,48861,43566,21377
538,66899,36992,23804,93671
539,37430,59129,19818,47288
540,3803,64895,35838,61988
541,96722,7049,14443,99804
542,51951,26704,47590,9833
543,60277,57182,73394,79849
544,13493,65746,35536,66690
545,75623,65764,18369,76176
546,83280,20451,92887,27681
547,51554,51713,50879,78854
548,1110,75080,34079,78969
549,45219,55106,59081,80629
550,76773,14579,27725,51025
551,24181,83280,43033,15866
552,79409,93459,91942,57711
553,67565,64086,45082,1047
554,28819,90984,44629,14690
555,44506,52752,22828,16976
556,45174,81217,16989,50505
557,63176,33230,2305,42239
558,23285,94750,49647,3477
559,79276,4540,58983,16115
560,28701,49383,24538,56392
561,6176,43019,13922,53505
562,19481,45223,55599,56795
563,21683,92561,4798,56645
564,21615,40539,59625,17410
565,93470,34472,90527,41604
566,53129,40207,8929,81312
567,45713,72065,82270,75007
568,28491,50047,62593,8418
569,70831,59589,3378,93834
570,11631,69166,8125,10006
571,7308,6530,83706,74975
572,20143,30087,4664,85032
573,42659,4968,29461,15265
574,703,98003,23863,57804
575,38934,10563,20418,73628
576,15447,31623,74029,12179
577,2196,85035,23257,27303
578,52959,24363,80940,51593
579,68713,65691,73280,95762
580,67722,78485,67948,98014
581,91429,38310,54434,59508
582,21793,81263,69102,36984
583,38770,3804,65688,81665
584,85362,75478,82770,60467
585,919,7300,25083,87901
586,58303,70506,59612,95397
587,66735,2656,71466,21511
588,24738,99881,63394,66078
589,86704,61046,99429,14136
590,17201,9918,46292,97487
591,46329,18381,55797,82046
592,30207,98383,75601,60948
593,74396,73886,93301,30010
594,15299,64573,39232,97585
595,90603,72488,27155,44866
596,55521,17856,20061,8108
597,85790,73599,43114,33771
598,12251,13916,75902,49033
599,21013,15992,53825,19419
600,72220,90145,29211,51997
601,2788,97994,82423,19606
602,64551,63328,3721,55324
603,2018,13033,8244,54846
604,86561,96131,1066,63933
605,3375,42741,21251,20670
606,29835,33625,50862,47498
607,39592,76255,45707,69859
608,77107,49265,58631,41546
609,85487,459,20911,55380
610,79770,30216,38070,92463
611,84759,71942,98484,98944
612,94316,63316,24912,91456
613,26365,3522,32969,38687
614,58847,57410,21597,29855
615,42270,36214,72304,3045
616,13695,10279,75809,33652
617,97663,51936,36714,23140
618,22635,34719,88536,39432
619,36665,64213,83802,96867
620,19756,31443,52490,85061
621,22696,61631,41841,98033
622,16812,88810,75202,25840
623,83943,92492,7796,67945
624,52876,48129,83737,24954
625,61897,84603,8543,4062
626,9224,24399,39978,23018
627,33212,59056,63171,72405
628,27600,72808,89795,58400
629,34531,23150,4993,62405
630,88013,34132,1649,47255
631,25807,94306,43862,69641
632,17160,79080,98707,77717
633,52233,12847,88976,87721
634,16978,30068,36457,72699
635,89107,26279,40202,6338
636,46979,64014,40313,37957
637,99758,75984,25731,17079
638,31910,77059,65494,19319
639,31393,709,77840,76120
640,12112,77634,14923,71970
641,71984,46068,32948,2658
642,9450,30248,86929,88670
643,42754,45744,75743,4889
644,28165,99006,71158,8924
645,19710,6482,78205,60017
646,30755,84799,19106,85149
647,69113,207,74332,70569
648,59285,38013,49520,64531
649,41825,65709,76782,70206
650,54516,67011,40898,3401
651,35210,83220,18208,49770
652,93268,49883,90725,80339
653,75043,27941,59105,83321
654,99218,42852,12090,19720
655,77566,83704,78264,73035
656,71302,63829,11218,93345
657,51202,84808,54936,48824
658,61858,94356,92235,95775
659,75151,73742,33521,66140
660,66003,25453,52479,66633
661,30342,38826,13837,46217
662,45162,93598,21177,5223
663,80047,85838,93551,59905
664,86839,38270,96719,72547
665,20660,58631,99992,97972
666,57437,70944,1069,12487
667,13309,50915,52478,82583
668,74163,51583,59624,26827
669,67925,76313,36731,7631
670,18042,99776,4178,40079
671,95338,66545,28917,72417
672,74306,87592,10102,41812
673,5350,82047,3919,54579
674,38551,315,11171,19714
675,43968,31762,94194,73558
676,32018,27921,29032,54232
677,70382,62936,24739,45430
678,84268,69851,84382,12077
679,69105,78593,19122,22988
680,65713,57069,61458,70432
681,98992,46409,61185,81105
682,81488,26701,80410,87394
683,44852,37974,6615,42198
684,81365,35187,46461,84218
685,79925,64576,18367,28880
686,66495,12864,80591,28875
687,24775,55810,32781,71514
688,45549,50138,25496,93583
689,60341,30742,87540,97444
690,75646,80107,9754,32798
691,17839,39325,24350,60464
692,43377,17452,33100,19856
693,19782,42799,60347,78762
694,31026,16026,24342,143
695,93234,78281,80234,18653
696,29971,3344,52077,33383
697,58861,65368,76383,87174
698,55909,5514,38964,44566
699,73969,38842,63634,31815
700,9147,9097,44993,12113
701,57526,70250,91822,51813
702,36397,47678,4372,39859
703,46581,97655,24930,38399
704,26440,10605,45901,8305
705,21017,56746,78908,58222
706,20701,66959,28361,62953
707,1368,21363,58482,10809
708,24676,21895,22213,19954
709,51050,58044,44634,21607
710,66984,33993,56259,51199
711,4822,26701,41485,40931
712,27125,82382,23308,7761
713,91182,7050,48782,46463
714,86771,80726,63494,49998
715,97995,39056,90552,664
716,65327,69813,90857,66347
717,206,33622,34495,29956
718,73295,33805,11574,37377
719,32753,36950,71120,92909
720,20634,60396,56445,92421
721,74357,45653,61044,46741
722,3234,78763,89140,42170
723,76383,83309,70384,95713
724,67033,92666,32028,27281
725,67461,17186,23144,84905
726,4833,38064,99085,43504
727,57188,67405,56773,32471
728,61349,12586,63710,88575
729,56714,84175,64696,78646
730,70359,57422,70186,3082
731,65286,29486,94051,10124
732,32908,98303,86210,94303
733,56584,26822,45727,60093
734,99100,7395,29726,1411
735,68500,72783,59618,61860
736,32393,53851,18187,21616
737,76728,80304,4566,32831
738,21523,33392,55379,49909
739,23051,8195,75475,5889
740,39451,35365,14948,9083
741,5105,33004,80440,80025
742,2358,44913,14828,25087
743,77065,98823,97932,39362
744,1072,97821,84369,4020
745,93598,84834,846,66604
746,97370,84532,93529,44001
747,79478,5166,67571,71649
748,70588,30792,55123,52132
749,73191,52216,44307,61893
750,35964,60214,30604,14573
751,79276,38995,49549,30583
752,23354,42407,71730,44259
753,14139,86351,5244,85688
754,87815,78726,33728,39049
755,29622,83099,6094,10887
756,16459,49607,56485,46840
757,5449,13202,32959,59554
758,8789,10930,80130,15807
759,77975,88680,46888,99306
760,32653,10832,39423,48881
761,39268,10158,2881,946
762,66788,19812,6340,16239
763,22657,86813,9602,27510
764,37582,24692,26587,44469
765,46383,75885,83949,88894
766,25776,70987,26624,18266
767,43953,44062,43741,93695
768,10191,28925,71736,22739
769,87728,18044,20329,13446
770,82096,3727,42035,9119
771,7765,6608,18032,76756
772,58089,1760,31491,63430
773,30327,6841,2963,2142
774,53098,32936,21805,65148
775,24580,21055,34164,1862
776,89338,70881,17536,78208
777,35541,7113,10941,83177
778,87559,58159,51889,88135
779,60188,89667,54850,56681
780,59521,81945,61989,95649
781,52478,73088,33867,18955
782,48837,32973,14545,30724
783,78184,54810,35300,90479
784,49863,82984,24446,32371
785,23125,90944,64462,54260
786,62424,25770,27484,45664
787,77142,44965,67909,35496
788,18370,73064,29791,18867
789,54499,53625,69597,42186
790,63342,12660,67686,49953
791,55570,54482,84356,14331
792,69409,90597,77192,98668
793,54931,60351,50276,263
794,70946,6099,35864,16462
795,42746,36581,92097,359
796,5336,57608,55822,94674
797,46200,70989,84201,93367
798,45897,52583,28599,62715
799,80834,17154,83261,14315
800,49166,82672,40552,78164
801,78847,37168,16083,86830
802,65376,49679,28441,37202
803,61166,35671,24719,59242
804,33579,47716,25239,82694
805,64452,64635,63275,98306
806,45956,16486,24330,68976
807,67236,83815,81393,95202
808,34878,4327,42314,59946
809,55800,37790,99385,69400
810,69278,86226,22198,95924
811,10653,48911,95621,73294
812,86185,27969,46259,40125
813,16977,11353,5500,37320
814,76576,989,60324,30241
815,9840,13098,99541,84629
816,54276,3287,67349,59889
817,175,19573,28219,72083
818,430,6872,19801,17354
819,80404,83592,38465,69163
820,17444,14244,99436,35879
821,27498,93385,3168,69099
822,7729,32950,26229,3943
823,44258,90259,79503,83815
824,53648,84143,55701,74902
825,15598,58639,21299,95295
826,36042,70306,40519,55734
827,61281,17881,84487,78265
828,33792,21535,6469,21693
829,66094,83557,94814,73209
830,84700,50701,95345,28439
831,28070,18155,76684,8604
832,90553,47241,38418,21815
833,75326,69098,50668,40032
834,56121,48607,20819,54311
835,99090,17228,16909,3235
836,38045,7880,39563,37669
837,42519,87849,74782,98239
838,50188,63661,84761,35435
839,8647,60435,25385,74624
840,89434,23518,70511,37479
841,18806,38919,14797,15605
842,25811,55551,74906,56019
843,13101,18935,24235,28617
844,28175,82960,77586,2822
845,94981,30894,4571,43945
846,14912,74756,50699,19779
847,79123,77797,28676,78818
848,99532,8995,40337,35099
849,79058,90074,33737,3641
850,89850,71167,99463,5073
851,63200,53964,89383,77503
852,8031,92397,49551,78031
853,36847,65559,26170,27342
854,24808,16800,39440,11330
855,50345,75056,34995,27420
856,46733,73420,75367,51668
857,99587,45610,75875,8087
858,98501,11539,83915,75170
859,7916,40167,6351,30618
860,90381,21914,20861,16555
861,91171,54721,9058,53289
862,9866,2087,66923,49622
863,32783,5115,3388,20566
864,62337,87447,49141,91535
865,7173,97172,11058,94734
866,73524,69971,47193,32206
867,60247,54515,436,45356
868,86477,46881,15258,34319
869,4605,32996,71903,63893
870,66022,17706,52199,94082
871,74609,99288,89519,15081
872,66292,47665,83234,24044
873,73855,5098,96720,61274
874,86670,19176,23628,74227
875,48612,81163,89737,37482
876,12119,62145,52126,63443
877,67581,1712,63652,81944
878,69782,1536,80939,84517
879,61268,91286,18923,12158
880,65292,21074,83194,99186
881,90531,34745,53912,35976
882,24362,77134,35320,88552
883,26438,81107,49503,54091
884,11491,6259,24124,41714
885,71662,4954,12984,62669
886,80716,33432,44847,44384
887,58945,66471,43352,92048
888,75070,52704,12607,10086
889,35104,26790,84577,78673
890,96605,64409,48118,47059
891,94239,38024,96181,9340
892,12239,73145,64412,55382
893,24227,59437,50568,57295
894,55821,52213,22915,90718
895,26326,48746,98582,19683
896,74287,98564,42954,53821
897,80257,95927,90544,92150
898,59917,17658,6376,59506
899,110,37953,2871,40044
900,72766,34486,89768,72142
901,7617,3207,81715,29842
902,97553,80423,4766,21223
903,51498,7334,78588,34587
904,88607,5895,87399,98303
905,3158,14804,82603,26833
906,5411,7647,8297,15960
907,73100,32826,41496,30735
908,16256,66025,92033,31688
909,28819,2592,6563,72415
910,8589,54913,13508,84768
911,21400,32392,82679,73668
912,25945,25279,19710,73372
913,56732,69504,16401,68667
914,64873,6841,19846,46053
915,74433,55121,51270,47474
916,29006,26242,92698,69503
917,66027,73153,53000,53514
918,73920,14009,71995,26121
919,36856,33649,20689,32278
920,3661,96666,11490,30245
921,80812,10443,62416,74925
922,84629,37237,24981,9405
923,14907,78173,28887,37678
924,84926,23921,5061,39269
925,54852,96527,27419,99242
926,36230,13378,55954,55742
927,90869,97236,64403,9688
928,64532,69659,23293,64420
929,41376,13570,43341,30547
930,89288,57034,15296,88755
931,61962,32202,45114,49044
932,5483,60041,96598,22438
933,99704,74305,65924,79768
934,43547,69111,6224,52304
935,47644,36474,84560,23200
936,8865,91162,99466,28473
937,41748,4614,11297,75557
938,27930,96594,49397,6808
939,41201,86133,36739,83577
940,4422,40657,93925,32425
941,1043,15702,83210,94115
942,99587,13248,30922,43870
943,94422,75092,81899,70311
944,51321,77213,46142,2470
945,44864,25732,37892,75467
946,62709,95213,35527,96272
947,39610,98362,88282,4517
948,6945,69967,26958,69928
949,95258,32887,75862,8281
950,52059,41713,90223,74683
951,5578,90778,81177,29359
952,67980,66151,57947,89889
953,51243,20370,13801,59508
954,94444,91356,60886,85696
955,21170,19996,88682,42855
956,48720,1439,28362,93288
957,42084,40751,82954,51159
958,14072,64092,32756,5028
959,60639,52393,16545,63883
960,21919,49460,8765,57949
961,20546,64895,23855,56396
962,74788,86405,99709,49138
963,86804,76294,1046,97494
964,69007,38619,30858,40846
965,89930,21753,89534,86535
966,40959,84711,85053,89056
967,94699,81256,82536,63641
968,4589,21544,88837,44846
969,30715,80925,27716,77305
970,12480,35963,94420,32233
971,96289,59494,60772,83821
972,41209,1588,98994,84023
973,56969,52926,9392,13111
974,29556,11356,16815,77895
975,48749,37341,89986,54394
976,81614,79272,11730,5299
977,25555,91117,23701,61909
978,58059,10886,14347,17808
979,89936,25294,55653,54628
980,92399,35838,82498,14287
981,4110,80759,66489,24531
982,42590,74784,90806,36416
983,73378,77807,56415,88853
984,95192,17099,24301,58492
985,84862,53144,10809,81714
986,68865,4069,42290,43364
987,69125,17156,66401,88905
988,65833,75778,56922,27853
989,13075,26198,20953,72683
990,55394,48569,25730,23660
991,20177,52793,77149,29521
992,30884,2751,47254,52500
993,24125,37547,58947,52722
994,31709,38114,6380,95233
995,73083,69553,24716,77029
996,99261,58242,99853,99808
997,30667,55211,60985,12348
998,58761,15247,72223,12040
999,56237,90979,88140,3060
